,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
106,0.25014424324035645,0.11715512183662494,0.028473854064941406,0.01644052772004382,0.001,2,70,"{'learning_rate': 0.001, 'max_depth': 2, 'n_estimators': 70}",0.9201661282879557,0.9168975069252078,0.9030470914127424,0.9133702422086353,0.007420536960324418,54,0.909972299168975,0.9116085852757905,0.9185321947842142,0.91337102640966,0.0037101304827650795
148,0.21800859769185385,0.10197717911077571,0.016840060551961262,0.0017050534239717754,0.01,1,70,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 70}",0.8532533456391325,0.8564173591874423,0.8984302862419206,0.8693669970228318,0.02059140323221924,57,0.8550323176361958,0.8534502654050311,0.906992845603508,0.8718251428815783,0.024875707137272836
150,0.16304421424865723,0.057779325515794025,0.019974788029988606,0.0040364868705083465,0.01,2,5,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 5}",0.8504845408398708,0.8481071098799631,0.8388734995383195,0.8458217167527179,0.00500808255630354,58,0.8434903047091413,0.8446803600276944,0.8492960996999769,0.8458222548122709,0.002503964409116736
147,0.12487308184305827,0.02444295177463948,0.04056564966837565,0.0272949893923137,0.01,1,40,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 40}",0.8532533456391325,0.8227146814404432,0.8180978762696214,0.8313553011163991,0.015598546683073687,59,0.8550323176361958,0.815831987075929,0.8181398569120701,0.8296680538747316,0.017959973513640193
146,0.09914652506510417,0.016524787680630117,0.01631585756937663,0.0012534685372297854,0.01,1,20,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 20}",0.7918781725888325,0.7894736842105263,0.7876269621421976,0.7896596063138522,0.0017405215380786024,60,0.788550323176362,0.7897530579275329,0.7906762058619894,0.7896598623219614,0.0008703862605900829
145,0.17851543426513672,0.029504912784887243,0.028836568196614582,0.01954843822295456,0.01,1,10,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 10}",0.7918781725888325,0.7894736842105263,0.7876269621421976,0.7896596063138522,0.0017405215380786024,60,0.788550323176362,0.7897530579275329,0.7906762058619894,0.7896598623219614,0.0008703862605900829
101,0.32081349690755206,0.10321734596022046,0.018855492273966473,0.0013654116684704927,0.001,1,100,"{'learning_rate': 0.001, 'max_depth': 1, 'n_estimators': 100}",0.7918781725888325,0.7894736842105263,0.7876269621421976,0.7896596063138522,0.0017405215380786024,60,0.788550323176362,0.7897530579275329,0.7906762058619894,0.7896598623219614,0.0008703862605900829
100,0.2050027847290039,0.09082292614805487,0.01696324348449707,0.005636414960983492,0.001,1,70,"{'learning_rate': 0.001, 'max_depth': 1, 'n_estimators': 70}",0.7918781725888325,0.7894736842105263,0.7876269621421976,0.7896596063138522,0.0017405215380786024,60,0.788550323176362,0.7897530579275329,0.7906762058619894,0.7896598623219614,0.0008703862605900829
110,0.139297882715861,0.04913641871340698,0.01762851079305013,0.004122803000571168,0.001,3,20,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 20}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
109,0.12485353151957194,0.03783753100708989,0.022057294845581055,0.00372896592706232,0.001,3,10,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 10}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
