,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
99,0.09142065048217773,0.01747063816544374,0.020612001419067383,0.012986172954438772,0.001,1,40,"{'learning_rate': 0.001, 'max_depth': 1, 'n_estimators': 40}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
98,0.053521951039632164,0.00448464624949749,0.009974082310994467,0.0016277172912646152,0.001,1,20,"{'learning_rate': 0.001, 'max_depth': 1, 'n_estimators': 20}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
97,0.04687182108561198,0.0014084949252854187,0.009974400202433268,1.9106571324938627e-06,0.001,1,10,"{'learning_rate': 0.001, 'max_depth': 1, 'n_estimators': 10}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
108,0.05219562848409017,0.017469552550282604,0.008975982666015625,0.0008187736950258166,0.001,3,5,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 5}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
114,0.04122551282246908,0.0016968226024456762,0.01096796989440918,0.0014120882272016153,0.001,4,5,"{'learning_rate': 0.001, 'max_depth': 4, 'n_estimators': 5}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
128,0.07113790512084961,0.005537498824986798,0.009973526000976562,0.0008163414779396328,0.001,10,20,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 20}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
116,0.09473935763041179,0.024110939955005743,0.009643793106079102,0.0009375214153563193,0.001,4,20,"{'learning_rate': 0.001, 'max_depth': 4, 'n_estimators': 20}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
144,0.047540903091430664,0.0075656970992110245,0.009971062342325846,0.0008159517556744744,0.01,1,5,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 5}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
96,0.03823153177897135,0.0017000479688244682,0.009634256362915039,0.00047963233107736406,0.001,1,5,"{'learning_rate': 0.001, 'max_depth': 1, 'n_estimators': 5}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
141,0.13497471809387207,0.020316826371818555,0.011634031931559244,0.0023508395457582706,0.001,50,40,"{'learning_rate': 0.001, 'max_depth': 50, 'n_estimators': 40}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
