,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,param_kernel,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
132,2.8911421298980713,0.2309954006774733,0.2594870726267497,0.01768937443874948,100,30,0.001,0.001,"{'batch_size': 100, 'epochs': 30, 'kernel': 0.001, 'learning_rate': 0.001}",0.6974789915966386,0.7046413502109705,0.6708860759493671,0.6910021392523253,0.014521635521674615,41,0.7151898734177216,0.68,0.7136842105263158,0.7029580279813458,0.016245410465314608
128,2.5806597073872886,0.025256283064943184,0.25365201632181805,0.027155284837010484,100,30,0.0001,0.001,"{'batch_size': 100, 'epochs': 30, 'kernel': 0.0001, 'learning_rate': 0.001}",0.6974789915966386,0.70042194092827,0.6666666666666666,0.6881891997305251,0.015266080261062392,42,0.7172995780590717,0.68,0.7115789473684211,0.702959508475831,0.016401944518125832
264,3.410386641820272,0.45897324341099555,0.29280956586201984,0.025499147268521663,150,50,0.01,0.001,"{'batch_size': 150, 'epochs': 50, 'kernel': 0.01, 'learning_rate': 0.001}",0.6974789915966386,0.6835443037974683,0.679324894514768,0.6867827299696249,0.007757076909458356,43,0.6962025316455697,0.6736842105263158,0.7073684210526315,0.6924183877415057,0.01400943297711198
8,1.455089012781779,0.013824149590343523,0.14959987004597983,0.0037305962672732726,50,20,0.01,0.001,"{'batch_size': 50, 'epochs': 20, 'kernel': 0.01, 'learning_rate': 0.001}",0.680672268907563,0.679324894514768,0.679324894514768,0.6797740193123664,0.000635158379961675,44,0.6919831223628692,0.6736842105263158,0.7010526315789474,0.6889066548227106,0.011382914305301854
136,2.9845202763875327,0.28251462896427304,0.2424005667368571,0.02954656850030006,100,30,0.01,0.001,"{'batch_size': 100, 'epochs': 30, 'kernel': 0.01, 'learning_rate': 0.001}",0.680672268907563,0.6666666666666666,0.6708860759493671,0.6727416705078656,0.0058663814460987555,45,0.679324894514768,0.6526315789473685,0.6884210526315789,0.6734591753645719,0.015188298182261506
224,2.6242520014444985,0.1135170935268797,0.2701438268025716,0.022214686013412015,150,30,0.0001,0.001,"{'batch_size': 150, 'epochs': 30, 'kernel': 0.0001, 'learning_rate': 0.001}",0.6554621848739496,0.6666666666666666,0.6666666666666666,0.6629318394024276,0.005281843370207619,46,0.6856540084388185,0.6547368421052632,0.6863157894736842,0.675568880005922,0.014732952653952077
228,2.929837703704834,0.20231786084850711,0.3410665988922119,0.03423913048317179,150,30,0.001,0.001,"{'batch_size': 150, 'epochs': 30, 'kernel': 0.001, 'learning_rate': 0.001}",0.6512605042016807,0.6624472573839663,0.6666666666666666,0.6601248094174378,0.006500399161708422,47,0.6814345991561181,0.6526315789473685,0.6863157894736842,0.6734606558590569,0.014862578028364862
100,3.4458839098612466,0.2918331239373244,0.4847087065378825,0.06445175602368873,100,20,0.001,0.001,"{'batch_size': 100, 'epochs': 20, 'kernel': 0.001, 'learning_rate': 0.001}",0.6554621848739496,0.6624472573839663,0.6582278481012658,0.6587124301197272,0.0028721564827390335,48,0.6729957805907173,0.6484210526315789,0.6757894736842105,0.6657354356355022,0.012296126066911474
96,2.260871410369873,0.11301170876865273,0.2635105450948079,0.04142877940607132,100,20,0.0001,0.001,"{'batch_size': 100, 'epochs': 20, 'kernel': 0.0001, 'learning_rate': 0.001}",0.6554621848739496,0.6624472573839663,0.6582278481012658,0.6587124301197272,0.0028721564827390335,48,0.6751054852320675,0.6484210526315789,0.6757894736842105,0.6664386705159523,0.012743439507478223
171,3.3461283842722573,0.2155484787671662,0.27135618527730304,0.046338713909039514,100,50,0.01,1,"{'batch_size': 100, 'epochs': 50, 'kernel': 0.01, 'learning_rate': 1}",0.6176470588235294,0.7341772151898734,0.620253164556962,0.6573591461901216,0.05432899618933663,50,0.6181434599156118,0.7347368421052631,0.6168421052631579,0.6565741357613443,0.05527193307178087
